Alapkezelő;Alap megnevezése;Sorozat megnevezése;Az alap (sorozat) ISIN kódja / egyéb azonosító;Alap fajta;Futamidő;Elsődleges eszközkategória;Befektetési politika;Földrajzi, devizális kitettség;Devizanem;Az alap (sorozat) átlagos nettó eszközértéke;"Alapkezelési díj 
(tájékoztató alapján) %-ban";"Sikerdíj 
(tájékoztató alapján) %-ban";A sikerdíj elszámolás gyakorisága;Letétkezelési díj (tájékoztató alapján) %-ban;Egyéb, a tájékoztatóban %-os formában meghatározott díjak összesen, %-ban;A tájékoztatóban %-ban meghatározott maximális díjterhelés;Az alapra terhelt összes költség;Az alapra terhelt alapkezelési díj ;Az alapra terhelt sikerdíj ;Az alapra terhelt eladási, visszaváltási, forgalmazási jutalék;Az alapra terhelt letétkezelési díj ;Az alapra terhelt egyéb költségek;Korrigált  értékpapír kereskedési és bankköltség;ezen belül: a 10 %-nál nagyobb arányt jelentő kollektív értékpapírokba történő befektetés kapcsán felmerült költségek;Ingatlanalapokra terhelt értékcsökkenés, továbbszámlázott közüzemi díjak, egyéb költségek;A 10 %-nál nagyobb arányt jelentő kollektív értékpapírokba történő befektetéshez kapcsolódó arányosított, összesített folyó díjterhelési mutató (%);"Az alapra terhelt összes korrigált költség
(Ft / deviza)";Alapkezelési díj/összes korrigált költség (%);Letétkezelési díj/összes korrigált költség (%);Alapkezelési díj/SÁNE (%);Letétkezelési díj/SÁNE (%);"TER 2024
(%)"
Accorde Alapkezelő Zrt.;Accorde Abacus Abszolút Hozamú Alap;Accorde Abacus Abszolút Hozamú Alap C sorozat;HU0000730882;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;USD;13,451,361,961.00;2;20;éves;0.25;0.05;;542,499,134.00;241,276,280.00;266,669,648.00;0.00;6,504,511.00;8,453,545.00;19,595,150.00;0.00;0.00;0;256,234,336.00;94.16;2.54;1.79;0.05;1.90
Accorde Alapkezelő Zrt.;Accorde Abacus Abszolút Hozamú Alap;Accorde Abacus Abszolút Hozamú Alap A sorozat;HU0000716402;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;35,736,202,389.00;2;20;éves;0.25;0.05;;1,412,526,886.00;641,498,548.00;675,127,080.00;0.00;18,053,051.00;23,462,530.00;54,385,677.00;0.00;0.00;0;683,014,129.00;93.92;2.64;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Blanc Részvényalap;Accorde Blanc Részvényalap C sorozat;HU0000726658;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;USD;986,486,056.00;2.1;20;éves;0.25;0.05;;28,662,222.00;21,730,215.00;0.00;0.00;540,370.00;2,792,781.00;3,598,856.00;0.00;0.00;0.38;25,063,366.00;86.70;2.16;2.20;0.05;2.92
Accorde Alapkezelő Zrt.;Accorde Blanc Részvényalap;Accorde Blanc Részvényalap B sorozat;HU0000726666;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;533,755,196.00;2.1;20;éves;0.25;0.05;;15,940,136.00;11,646,104.00;0.00;0.00;334,732.00;1,729,989.00;2,229,311.00;0.00;0.00;0.38;13,710,825.00;84.94;2.44;2.18;0.06;2.95
Accorde Alapkezelő Zrt.;Accorde Bond Abszolút Hozamú Kötvényalap ;Accorde Bond Abszolút Hozamú Kötvényalap ;HU0000729678;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;36,220,857,932.00;2;20;éves;0.2;0.05;;1,033,896,928.00;725,022,335.00;272,478,489.00;0.00;11,415,717.00;20,943,249.00;4,037,138.00;0.00;0.00;0;757,381,301.00;95.73;1.51;2.00;0.03;2.09
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap A sorozat;HU0000721774;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;10,552,379,741.00;2.2;20;éves;0.25;0.05;;275,156,692.00;227,610,736.00;22,445,103.00;0.00;5,107,698.00;5,635,919.00;14,357,236.00;0.00;0.00;0;238,354,353.00;95.49;2.14;2.16;0.05;2.26
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap B sorozat;HU0000721782;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;13,272,010,574.00;2.2;20;éves;0.25;0.05;;250,360,303.00;205,634,979.00;11,858,175.00;0.00;6,688,038.00;7,379,694.00;18,799,417.00;0.00;0.00;0;219,702,711.00;93.60;3.04;1.55;0.05;1.66
Accorde Alapkezelő Zrt.;Accorde Cuvée Befektetési Alap;Accorde Cuvée Alap C sorozat;HU0000730890;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;USD;10,257,729,722.00;2.2;20;éves;0.25;0.05;;394,481,134.00;265,728,641.00;102,327,256.00;0.00;5,377,193.00;5,933,285.00;15,114,759.00;0.00;0.00;0;277,039,119.00;95.92;1.94;2.59;0.05;2.70
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja B Sorozat;HU0000716501;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;14,550,780,798.00;1.2;0;0;0.2;0.05;;11,786,935.00;0.00;0.00;0.00;5,124,997.00;5,842,959.00;818,979.00;0.00;0.00;1.78;10,967,956.00;0.00;46.73;0.00;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja A Sorozat;HU0000716519;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;11,745,163,823.00;1.2;0;0;0.2;0.05;;9,491,734.00;0.00;0.00;0.00;4,127,036.00;4,705,195.00;659,503.00;0.00;0.00;1.78;8,832,231.00;0.00;46.73;0.00;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Eklektika Alapok Alapja;Accorde Eklektika Alapok Alapja C Sorozat;HU0000717145;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;USD;6,916,880,053.00;1.2;0;0;0.2;0.05;;5,465,362.00;0.00;0.00;0.00;2,376,357.00;2,709,261.00;379,744.00;0.00;0.00;1.78;5,085,618.00;0.00;46.73;0.00;0.03;1.85
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap I sorozat;HU0000718622;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;7,844,864,804.00;1.2;20;éves;0.25;0.05;;157,482,964.00;70,951,268.00;67,387,912.00;0.00;8,013,487.00;5,758,903.00;5,371,394.00;0.00;0.00;0;84,723,658.00;83.74;9.46;0.90;0.10;1.08
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap A sorozat;HU0000718606;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;7,684,335,643.00;2.2;20;éves;0.25;0.05;;215,827,500.00;154,000,274.00;43,638,623.00;0.00;7,613,654.00;5,471,561.00;5,103,388.00;0.00;0.00;0;167,085,489.00;92.17;4.56;2.00;0.10;2.17
Accorde Alapkezelő Zrt.;Accorde Első Román Részvényalap;Accorde Első Román Részvényalap B sorozat;HU0000718614;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;4,024,158,954.00;2.2;20;éves;0.25;0.05;;90,180,216.00;80,650,992.00;0.00;0.00;3,988,883.00;2,866,616.00;2,673,725.00;0.00;0.00;0;87,506,491.00;92.17;4.56;2.00;0.10;2.17
Accorde Alapkezelő Zrt.;Accorde Eurobond Alap ;Accorde Eurobond Alap ;HU0000731880;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;47,532,115,901.00;2;0;0;0.2;0.05;;885,712,993.00;835,663,785.00;0.00;0.00;19,515,457.00;29,273,774.00;1,259,977.00;0.00;0.00;0;884,453,016.00;94.48;2.21;1.76;0.04;1.86
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja B Sorozat;HU0000716535;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;2,080,922,030.00;1.2;0;0;0.2;0.05;;2,214,938.00;0.00;0.00;0.00;731,601.00;1,307,893.00;175,444.00;0.00;0.00;0;2,039,494.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja C Sorozat;HU0000717152;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;USD;922,501,612.00;1.2;0;0;0.2;0.05;;982,753.00;0.00;0.00;0.00;324,607.00;580,303.00;77,843.00;0.00;0.00;0;904,910.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Forza Alapok Alapja;Accorde Forza Alapok Alapja A Sorozat;HU0000716527;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;2,827,674,704.00;1.2;0;0;0.2;0.05;;2,998,567.00;0.00;0.00;0.00;990,436.00;1,770,617.00;237,514.00;0.00;0.00;0;2,761,053.00;0.00;35.87;0.00;0.04;0.10
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap A Sorozat;HU0000716410;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;14,841,142,432.00;2;20;éves;0.25;0.05;;549,338,532.00;267,231,411.00;245,838,373.00;0.00;5,970,004.00;9,817,849.00;20,480,895.00;0.00;0.00;0;283,019,264.00;94.42;2.11;1.80;0.04;1.91
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap I Sorozat;HU0000725478;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;789,382,749.00;1;20;éves;0.25;0.05;;22,789,026.00;5,578,923.00;15,147,949.00;0.00;339,440.00;558,219.00;1,164,495.00;0.00;0.00;0;6,476,582.00;86.14;5.24;0.71;0.04;0.82
Accorde Alapkezelő Zrt.;Accorde Prizma Abszolút Hozamú Alap;Accorde Prizma Abszolút Hozamú Alap B Sorozat;HU0000721469;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;3,753,496,563.00;2;20;éves;0.25;0.05;;132,760,253.00;67,552,693.00;56,263,146.00;0.00;1,472,292.00;2,421,228.00;5,050,894.00;0.00;0.00;0;71,446,213.00;94.55;2.06;1.80;0.04;1.90
Accorde Alapkezelő Zrt.;Accorde Relax Alapok Alapja;Accorde Relax Alapok Alapja A sorozat;HU0000719232;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;HUF;983,428,715.00;2;20;éves;0.2;0.05;;17,713,036.00;15,771,361.00;0.00;0.00;375,341.00;1,309,940.00;256,394.00;0.00;0.00;1.64;17,456,642.00;90.35;2.15;1.60;0.04;3.42
Accorde Alapkezelő Zrt.;Accorde Relax Alapok Alapja;Accorde Relax Alapok Alapja B sorozat;HU0000719240;nyílt végű;határozatlan;értékpapíralap;alapok alapja;külföldi;EUR;600,557,061.00;2;20;éves;0.2;0.05;;7,019,396.00;5,735,647.00;0.00;0.00;248,159.00;866,074.00;169,516.00;0.00;0.00;1.64;6,849,880.00;83.73;3.62;0.96;0.04;2.78
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap B Sorozat;HU0000725460;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;EUR;1,396,665,260.00;2.5;20;éves;0.2;0.05;;38,959,796.00;25,162,566.00;6,481,800.00;0.00;697,828.00;804,901.00;5,812,701.00;0.00;0.00;0;26,665,295.00;94.36;2.62;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap A Sorozat;HU0000717590;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;9,255,718,221.00;2.5;20;éves;0.2;0.05;;271,414,015.00;166,762,018.00;56,103,530.00;0.00;4,631,098.00;5,341,678.00;38,575,691.00;0.00;0.00;0;176,734,794.00;94.36;2.62;1.80;0.05;1.91
Accorde Alapkezelő Zrt.;Accorde Sharp Abszolút Hozamú Részalap;Accorde Sharp Abszolút Hozamú Részalap  I Sorozat;HU0000725452;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;462,002,026.00;1;20;éves;0.2;0.05;;9,585,121.00;3,229,674.00;3,912,869.00;0.00;233,000.00;268,752.00;1,940,826.00;0.00;0.00;0;3,731,426.00;86.55;6.24;0.70;0.05;0.81
Accorde Alapkezelő Zrt.;Accorde Spartan Görög Részvényalap;Accorde Spartan Görög Részvényalap A sorozat;HU0000722582;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;4,908,107,569.00;2.2;20;éves;0.4;0.05;;127,602,949.00;98,395,195.00;20,431,032.00;0.00;2,940,814.00;2,220,639.00;3,615,269.00;0.00;0.00;0;103,556,648.00;95.02;2.84;2.00;0.06;2.11
Accorde Alapkezelő Zrt.;Accorde Spartan Görög Részvényalap;Accorde Spartan Görög Részvényalap I sorozat;HU0000722608;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;3,744,219,347.00;1.2;20;éves;0.4;0.05;;62,019,630.00;33,833,924.00;21,415,029.00;0.00;2,268,649.00;1,713,080.00;2,788,948.00;0.00;0.00;0;37,815,653.00;89.47;6.00;0.90;0.06;1.01
Accorde Alapkezelő Zrt.;Accorde Spartan Görög Részvényalap;Accorde Spartan Görög Részvényalap B sorozat;HU0000722590;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;6,148,205,628.00;2.2;20;éves;0.4;0.05;;134,326,991.00;123,294,076.00;0.00;0.00;3,696,796.00;2,791,489.00;4,544,630.00;0.00;0.00;0;129,782,361.00;95.00;2.85;2.01;0.06;2.11
Accorde Alapkezelő Zrt.;Accorde Techno Részalap;Accorde Techno Részalap;HU0000720438;nyílt végű;határozatlan;értékpapíralap;kiegyensúlyozott vegyes alap;külföldi;EUR;915,204,856.00;2.75;20;éves;0.2;0.05;;22,744,108.00;16,777,069.00;0.00;0.00;474,376.00;1,883,400.00;3,609,263.00;0.00;0.00;0;19,134,845.00;87.68;2.48;1.83;0.05;2.09
Accorde Alapkezelő Zrt.;Accorde Trezor Euró Részalap;Accorde Trezor Euró Részalap;HU0000731484;nyílt végű;határozatlan;értékpapíralap;rövid kötvényalap;külföldi;EUR;2,489,177,748.00;1.5;0;0;0.2;0.05;;19,212,573.00;15,531,240.00;0.00;0.00;1,026,775.00;2,514,656.00;139,902.00;0.00;0.00;0;19,072,671.00;81.43;5.38;0.62;0.04;0.77
Accorde Alapkezelő Zrt.;Accorde Trezor Forint Rövid Kötvény Részalap;Accorde Trezor Forint Rövid Kötvény Részalap;HU0000730858;nyílt végű;határozatlan;értékpapíralap;kötvényalap;külföldi;HUF;11,253,242,198.00;2.4;0;0;0.2;0.05;;209,000,719.00;198,430,461.00;0.00;0.00;4,555,498.00;5,581,590.00;433,170.00;0.00;0.00;0;208,567,549.00;95.14;2.18;1.76;0.04;1.85
Accorde Alapkezelő Zrt.;Accorde Trezor USD Alap;Accorde Trezor USD Alap;HU0000720784;nyílt végű;határozatlan;értékpapíralap;rövid kötvényalap;külföldi;USD;3,100,582,803.00;1;0;0;0.1;0.05;;31,625,603.00;26,677,346.00;0.00;0.00;1,319,540.00;2,914,175.00;714,542.00;0.00;0.00;0;30,911,061.00;86.30;4.27;0.86;0.04;1.00
Accorde Alapkezelő Zrt.;Accorde Wojtek Lengyel Részvényalap;Accorde Wojtek Lengyel Részvényalap A sorozat;HU0000720958;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;4,882,718,934.00;2.2;20;éves;0.25;0.05;;112,007,839.00;97,599,648.00;0.00;0.00;4,013,644.00;2,296,047.00;8,098,500.00;0.00;0.00;0;103,909,339.00;93.93;3.86;2.00;0.08;2.13
Accorde Alapkezelő Zrt.;Accorde Wojtek Lengyel Részvényalap;Accorde Wojtek Lengyel Részvényalap I sorozat;HU0000720974;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;920,108,257.00;1.2;20;éves;0.25;0.05;;11,331,780.00;8,356,105.00;0.00;0.00;828,924.00;474,195.00;1,672,556.00;0.00;0.00;0;9,659,224.00;86.51;8.58;0.91;0.09;1.05
Accorde Alapkezelő Zrt.;Accorde Wojtek Lengyel Részvényalap;Accorde Wojtek Lengyel Részvényalap B sorozat;HU0000720966;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;7,019,201,462.00;2.2;20;éves;0.25;0.05;;162,092,847.00;140,708,306.00;0.00;0.00;5,957,023.00;3,407,778.00;12,019,740.00;0.00;0.00;0;150,073,107.00;93.76;3.97;2.00;0.08;2.14
Accorde Alapkezelő Zrt.;Accorde World Nemzetközi Részvényalap;Accorde World Nemzetközi Részvényalap C sorozat;HU0000722475;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;USD;493,268,783.00;2.2;0;0;0.25;0.05;;12,425,634.00;9,864,482.00;0.00;0.00;248,213.00;321,648.00;1,991,291.00;0.00;0.00;0;10,434,343.00;94.54;2.38;2.00;0.05;2.12
Accorde Alapkezelő Zrt.;Accorde World Nemzetközi Részvényalap;Accorde World Nemzetközi Részvényalap B sorozat;HU0000722467;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;EUR;927,553,591.00;2.2;0;0;0.25;0.05;;22,867,853.00;18,492,274.00;0.00;0.00;424,058.00;549,516.00;3,402,005.00;0.00;0.00;0;19,465,848.00;95.00;2.18;1.99;0.05;2.10
Accorde Alapkezelő Zrt.;Accorde World Nemzetközi Részvényalap;Accorde World Nemzetközi Részvényalap A sorozat;HU0000716436;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;3,450,977,799.00;2.2;0;0;0.25;0.05;;87,981,297.00;69,155,954.00;0.00;0.00;1,824,451.00;2,364,221.00;14,636,671.00;0.00;0.00;0;73,344,626.00;94.29;2.49;2.00;0.05;2.13
Accorde Alapkezelő Zrt.;Accorde World Nemzetközi Részvényalap;Accorde World Nemzetközi Részvényalap H sorozat;HU0000730726;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;493,114,885.00;2.2;0;0;0.25;0.05;;12,815,631.00;9,914,036.00;0.00;0.00;281,207.00;364,403.00;2,255,985.00;0.00;0.00;0;10,559,646.00;93.89;2.66;2.01;0.06;2.14
Accorde Alapkezelő Zrt.;Aforizma Abszolút Hozamú Részalap;Aforizma Részalap;HU0000720420;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;külföldi;HUF;2,583,468,478.00;2;0;0;0.2;0.05;;12,402,113.00;0.00;0.00;0.00;1,303,130.00;2,448,279.00;8,650,704.00;0.00;0.00;0;3,751,409.00;0.00;34.74;0.00;0.05;0.15
Allianz Alapkezelő Zrt.;Allianz Hazai Indexkövető Befektetési Alap;Allianz Hazai Indexkövető Befektetési Alap;HU0000708375;nyílt végű;határozatlan;értékpapíralap;részvényalap;hazai;HUF;3,675,572,982.00;1.5;;;0.15;0.085;2;63,967,606.00;55,149,715.00;;;5,940,776.00;2,449,468.00;427,647.00;;;0;63,539,959.00;86.80;9.35;1.50;0.16;1.73
Allianz Alapkezelő Zrt.;Allianz Kötvényalap;Allianz Kötvényalap;HU0000708201;nyílt végű;határozatlan;értékpapíralap;hosszú kötvényalap;hazai;HUF;171,372,529.00;1.5;;;0.1;0.085;2;2,856,162.00;1,704,107.00;;;341,126.00;809,484.00;1,445.00;;;0;2,854,717.00;59.69;11.95;0.99;0.20;1.67
Allianz Alapkezelő Zrt.;Allianz Rövid Kötvényalap;Allianz Rövid Kötvényalap;HU0000707146;nyílt végű;határozatlan;értékpapíralap;rövid kötvényalap;hazai;HUF;213,145,517.00;1.5;;;0.1;0.085;2;2,163,908.00;1,062,436.00;;;362,327.00;737,689.00;1,456.00;;;0;2,162,452.00;49.13;16.76;0.50;0.17;1.01
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Diszruptív Vállalatok Vegyes Alapok Alapja;Amundi Diszruptív Vállalatok Vegyes Alapok Alapja A sorozat;HU0000721949;nyílt végű;határozatlan;értékpapíralap;kiegyensúlyozott vegyes alap;külföldi;HUF;5,530,301,931.00;1.4;;0;0.05;1.385;;89,057,178.00;77,361,297.00;;2,762,904.00;2,285,675.00;6,523,303.00;123,999.00;0.00;;0.437372;88,933,179.00;86.99;2.57;1.40;0.04;2.05
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Explorer Abszolút Hozamú Alap;Amundi Explorer Abszolút Hozamú Alap A sorozat;HU0000715248;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;hazai;HUF;5,176,462,798.00;1.8;;0;0.05;1.385;;98,129,783.05;82,897,068.00;;2,590,534.00;2,438,558.00;8,581,801.05;1,621,822.00;;;0;96,507,961.05;85.90;2.53;1.60;0.05;1.86
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Explorer Abszolút Hozamú Alap;Amundi Explorer Abszolút Hozamú Alap I sorozat;HU0000711296;nyílt végű;határozatlan;értékpapíralap;abszolút hozamú alap;hazai;HUF;853,774,523.00;0.29;;0;0.05;1.385;;4,646,309.95;2,433,125.00;;128,060.00;402,201.00;1,415,430.95;267,493.00;;;0;4,378,816.95;55.57;9.19;0.28;0.05;0.51
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Feltörekvő Piaci  Vegyes Alapok Alapja;Amundi Feltörekvő Piaci Vegyes Alapok Alapja A sorozat;HU0000710348;nyílt végű;határozatlan;értékpapíralap;dinamikus vegyes alap;külföldi;HUF;1,400,290,339.00;1.9;;0;0.1;1.385;;32,220,589.00;24,844,445.00;;699,965.00;1,399,930.00;4,945,187.00;331,062.00;0.00;;0.092755;31,889,527.00;77.91;4.39;1.77;0.10;2.37
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Klímatudatos Vegyes Alapok Alapja  ;Amundi Klímatudatos Vegyes Alapok Alapja  A sorozat;HU0000726211;nyílt végű;határozatlan;értékpapíralap;kiegyensúlyozott vegyes alap;külföldi;HUF;3,386,064,749.00;1.4;;0;0.06;1.385;;56,332,348.00;47,376,539.00;;1,692,020.00;1,509,204.00;5,650,216.00;104,369.00;0.00;;0.292841;56,227,979.00;84.26;2.68;1.40;0.04;1.95
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Kor Trend Vegyes Alapok Alapja;Amundi Kor Trend Vegyes Alapok Alapja A sorozat;HU0000721931;nyílt végű;határozatlan;értékpapíralap;kiegyensúlyozott vegyes alap;külföldi;HUF;2,997,025,960.00;1.4;;0;0.05;1.385;;49,557,845.00;41,946,540.00;;1,498,091.00;1,198,473.00;4,797,004.00;117,737.00;0.00;;0.36548;49,440,108.00;84.84;2.42;1.40;0.04;2.02
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Közép-Európai Részvény Alap;Amundi Közép-Európai Részvény Alap U sorozat;HU0000718184;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;83,632,067.00;1.9;;0;0.17;1.385;;1,886,029.48;1,557,016.00;;41,792.00;144,215.00;110,870.48;32,136.00;;;0;1,853,893.48;83.99;7.78;1.86;0.17;2.22
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Közép-Európai Részvény Alap;Amundi Közép-Európai Részvény Alap I sorozat;HU0000706668;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;7,780,918,905.00;0.7;;0;0.17;1.385;;85,091,590.08;54,481,020.00;;3,888,179.00;13,417,398.00;10,315,147.08;2,989,846.00;;;0;82,101,744.08;66.36;16.34;0.70;0.17;1.06
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Közép-Európai Részvény Alap;Amundi Közép-Európai Részvény Alap A sorozat;HU0000701891;nyílt végű;határozatlan;értékpapíralap;részvényalap;külföldi;HUF;3,664,614,034.00;2;;0;0.17;1.385;;87,763,770.44;73,346,976.00;;1,831,233.00;6,319,251.00;4,858,170.44;1,408,140.00;;;0;86,355,630.44;84.94;7.32;2.00;0.17;2.36
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Indexkövető Részvény Alap;Amundi Magyar Indexkövető Részvény Alap I sorozat;HU0000709811;nyílt végű;határozatlan;értékpapíralap;részvényalap;hazai;HUF;1,854,639,983.00;0.7;;0;0.1;1.385;;18,642,801.73;12,988,593.00;;927,276.00;1,854,552.00;2,348,515.73;523,865.00;;;0;18,118,936.73;71.69;10.24;0.70;0.10;0.98
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Indexkövető Részvény Alap;Amundi Magyar Indexkövető Részvény Alap U sorozat;HU0000718218;nyílt végű;határozatlan;értékpapíralap;részvényalap;hazai;HUF;3,097,386,002.00;1.95;;0;0.1;1.385;;67,556,589.10;58,113,643.00;;1,548,619.00;3,097,239.00;3,922,195.10;874,893.00;;;0;66,681,696.10;87.15;4.64;1.88;0.10;2.15
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Indexkövető Részvény Alap;Amundi Magyar Indexkövető Részvény Alap A sorozat;HU0000701842;nyílt végű;határozatlan;értékpapíralap;részvényalap;hazai;HUF;2,571,454,683.00;2;;0;0.1;1.385;;59,312,994.63;51,473,447.00;;1,285,666.00;2,571,332.00;3,256,212.63;726,337.00;;;0;58,586,657.63;87.86;4.39;2.00;0.10;2.28
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Indexkövető Részvény Alap;Amundi Magyar Indexkövető Részvény Alap M sorozat;HU0000732482;nyílt végű;határozatlan;értékpapíralap;részvényalap;hazai;HUF;2,614,508,758.00;0.5;;0;0.1;1.385;;20,677,717.54;12,706,911.00;;1,307,192.00;2,614,384.00;3,310,731.54;738,499.00;;;0;19,939,218.54;63.73;13.11;0.49;0.10;0.76
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Kötvény Alap;Amundi Magyar Kötvény Alap I sorozat;HU0000706635;nyílt végű;határozatlan;értékpapíralap;hosszú kötvényalap;hazai;HUF;6,150,800,193.00;0.6;;0;0.1;0.985;;52,339,031.93;36,912,554.00;;3,079,603.00;6,159,205.00;6,141,139.93;46,530.00;;;0;52,292,501.93;70.59;11.78;0.60;0.10;0.85
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Magyar Kötvény Alap;Amundi Magyar Kötvény Alap A sorozat;HU0000701834;nyílt végű;határozatlan;értékpapíralap;hosszú kötvényalap;hazai;HUF;18,975,193,333.00;1.3;;0;0.1;0.985;;293,677,924.65;246,087,305.00;;9,500,561.00;19,001,124.00;18,945,391.65;143,543.00;;;0;293,534,381.65;83.84;6.47;1.30;0.10;1.55
Amundi Befektetési Alapkezelő Zártkörűen Működő Részvénytársaság;Amundi Nemzetközi Vegyes Alapok Alapja;Amundi Nemzetközi Vegyes Alapok Alapja A sorozat;HU0000706643;nyílt végű;határozatlan;értékpapíralap;kiegyensúlyozott vegyes alap;külföldi;HUF;24,325,297,972.00;1.5;;0;0.15;1.385;;434,914,948.78;364,940,004.00;;12,153,824.00;36,461,471.00;20,506,924.78;852,725.00;0.00;;0.096841;434,062,223.78;84.08;8.40;1.50;0.15;1.88
